STATION,STATION_NAME,DATE,HPCP,Measurement Flag,Quality Flag
COOP:050843,BOULDER 2 CO US,20130912 10:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130912 11:00,0.20, , 
COOP:050843,BOULDER 2 CO US,20130912 12:00,0.30, , 
COOP:050843,BOULDER 2 CO US,20130912 14:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130912 15:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130912 16:00,0.30, , 
COOP:050843,BOULDER 2 CO US,20130912 17:00,0.40, , 
COOP:050843,BOULDER 2 CO US,20130912 18:00,0.20, , 
COOP:050843,BOULDER 2 CO US,20130912 19:00,0.40, , 
COOP:050843,BOULDER 2 CO US,20130912 20:00,0.70, , 
COOP:050843,BOULDER 2 CO US,20130912 21:00,0.20, , 
COOP:050843,BOULDER 2 CO US,20130912 22:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130913 00:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130913 02:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130913 05:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130914 21:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130915 05:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130915 10:00,0.50, , 
COOP:050843,BOULDER 2 CO US,20130915 11:00,0.30, , 
COOP:050843,BOULDER 2 CO US,20130915 12:00,0.20, , 
COOP:050843,BOULDER 2 CO US,20130915 13:00,0.20, , 
COOP:050843,BOULDER 2 CO US,20130915 18:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130915 19:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130915 21:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130916 01:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130922 12:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130923 01:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130923 02:00,0.20, , 
COOP:050843,BOULDER 2 CO US,20130927 10:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130927 15:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130927 17:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130927 18:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131001 01:00,0.00,g, 
COOP:050843,BOULDER 2 CO US,20131003 22:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131003 23:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131004 01:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131004 03:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131004 04:00,0.20, , 
COOP:050843,BOULDER 2 CO US,20131004 05:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131004 06:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131004 08:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131010 18:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131018 00:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131018 02:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131018 04:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131020 02:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131020 15:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131020 17:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131028 15:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131029 10:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131030 01:00,0.20, , 
COOP:050843,BOULDER 2 CO US,20131101 01:00,0.00,g, 
COOP:050843,BOULDER 2 CO US,20131109 03:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131121 04:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131121 15:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131126 21:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131201 01:00,0.00,g, 
COOP:050843,BOULDER 2 CO US,20131203 20:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131204 03:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131204 06:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131204 09:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131222 01:00,999.99,[, 
COOP:050843,BOULDER 2 CO US,20131223 00:00,999.99,], 
COOP:050843,BOULDER 2 CO US,20131223 02:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20131229 01:00,999.99,[, 
COOP:050843,BOULDER 2 CO US,20131231 00:00,999.99,], 
